log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
1.7,1.875,2.05,-0.8,-0.775,-0.75,5.869968007926455e-06
1.7,1.875,2.05,-0.75,-0.725,-0.7,5.688380729854321e-06
1.7,1.875,2.05,-0.7,-0.675,-0.65,5.296302433775961e-06
1.7,1.875,2.05,-0.65,-0.625,-0.6,4.788514449322365e-06
1.7,1.875,2.05,-0.6,-0.575,-0.55,4.5187347324726925e-06
1.7,1.875,2.05,-0.55,-0.525,-0.5,4.307777590475858e-06
1.7,1.875,2.05,-0.5,-0.475,-0.45,4.1369754810764784e-06
1.7,1.875,2.05,-0.45,-0.425,-0.4,3.980485278452126e-06
1.7,1.875,2.05,-0.4,-0.375,-0.35,3.8279933638718554e-06
1.7,1.875,2.05,-0.35,-0.325,-0.3,3.658535373836745e-06
1.7,1.875,2.05,-0.3,-0.275,-0.25,3.5068762573870254e-06
1.7,1.875,2.05,-0.25,-0.225,-0.2,3.4193946062705092e-06
1.7,1.875,2.05,-0.2,-0.175,-0.15,3.324843647324953e-06
1.7,1.875,2.05,-0.15,-0.125,-0.1,3.2450423726932052e-06
1.7,1.875,2.05,-0.1,-0.075,-0.05,3.1513383582527866e-06
1.7,1.875,2.05,-0.05,-0.025,0.0,3.095395603385796e-06
1.7,1.875,2.05,0.0,0.025,0.05,3.0406090392395172e-06
1.7,1.875,2.05,0.05,0.075,0.1,2.991173526594794e-06
1.7,1.875,2.05,0.1,0.125,0.15,2.9346916390491833e-06
1.7,1.875,2.05,0.15,0.175,0.2,2.8663186204944205e-06
1.7,1.875,2.05,0.2,0.225,0.25,2.818770394138905e-06
1.7,1.875,2.05,0.25,0.275,0.3,2.7882923359682377e-06
1.7,1.875,2.05,0.3,0.325,0.35,2.7781459994323466e-06
1.7,1.875,2.05,0.35,0.375,0.4,2.761794309390078e-06
1.7,1.875,2.05,0.4,0.425,0.45,2.675880809324146e-06
1.7,1.875,2.05,0.45,0.475,0.5,2.6232789013388834e-06
1.7,1.875,2.05,0.5,0.525,0.55,2.6327601988531276e-06
1.7,1.875,2.05,0.55,0.575,0.6,2.6305398921760477e-06
1.7,1.875,2.05,0.6,0.625,0.65,2.4857454638946883e-06
1.7,1.875,2.05,0.65,0.675,0.7,2.2590239806431556e-06
1.7,1.875,2.05,0.7,0.725,0.75,2.1407867849553077e-06
1.7,1.875,2.05,0.75,0.775,0.8,1.7283274759962853e-06
1.7,1.875,2.05,0.8,0.825,0.85,1.4493998226201067e-06
1.7,1.875,2.05,0.85,0.875,0.9,6.233576916255576e-07
1.7,1.875,2.05,0.9,0.925,0.95,0.0
1.7,1.875,2.05,0.95,0.975,1.0,0.0
2.05,2.225,2.4,-1.0,-0.975,-0.95,7.672243976671211e-06
