log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
3.100,3.275,3.450,-3.6182374959366665,0.0
3.100,3.275,3.450,-3.6151082950836884,0.0
3.100,3.275,3.450,-3.61197909423071,0.0
3.100,3.275,3.450,-3.608849893377732,0.0
3.100,3.275,3.450,-3.605720692524754,0.0
3.100,3.275,3.450,-3.602591491671776,0.0
3.100,3.275,3.450,-3.599462290818798,0.0
3.100,3.275,3.450,-3.5963330899658197,0.0
3.100,3.275,3.450,-3.5932038891128415,0.0
3.100,3.275,3.450,-3.5900746882598633,0.0
3.100,3.275,3.450,-3.586945487406885,0.0
3.100,3.275,3.450,-3.583816286553907,0.0
3.100,3.275,3.450,-3.5806870857009288,0.0
3.100,3.275,3.450,-3.577557884847951,0.0
3.100,3.275,3.450,-3.574428683994973,0.0
3.100,3.275,3.450,-3.5712994831419946,0.0
3.100,3.275,3.450,-3.5681702822890164,0.0
3.100,3.275,3.450,-3.5650410814360383,0.0
3.100,3.275,3.450,-3.56191188058306,0.0
3.100,3.275,3.450,-3.558782679730082,0.0
3.100,3.275,3.450,-3.5556534788771037,0.0
3.100,3.275,3.450,-3.5525242780241255,0.0
3.100,3.275,3.450,-3.5493950771711473,0.0
3.100,3.275,3.450,-3.546265876318169,0.0
3.100,3.275,3.450,-3.543136675465191,0.0
3.100,3.275,3.450,-3.540007474612213,0.0
3.100,3.275,3.450,-3.536878273759235,0.0
3.100,3.275,3.450,-3.533749072906257,0.0
3.100,3.275,3.450,-3.5306198720532787,0.0
3.100,3.275,3.450,-3.5274906712003005,0.0
3.100,3.275,3.450,-3.5243614703473223,0.0
3.100,3.275,3.450,-3.521232269494344,0.0
3.100,3.275,3.450,-3.518103068641366,0.0
3.100,3.275,3.450,-3.514973867788388,0.0
3.100,3.275,3.450,-3.51184466693541,0.0
3.100,3.275,3.450,-3.508715466082432,0.0
3.100,3.275,3.450,-3.5055862652294536,0.0
3.100,3.275,3.450,-3.5024570643764754,0.0
3.100,3.275,3.450,-3.4993278635234972,0.0
3.100,3.275,3.450,-3.496198662670519,0.0
3.100,3.275,3.450,-3.493069461817541,0.0
3.100,3.275,3.450,-3.4899402609645627,0.0
3.100,3.275,3.450,-3.4868110601115845,0.0
3.100,3.275,3.450,-3.4836818592586063,0.0
3.100,3.275,3.450,-3.480552658405628,0.0
3.100,3.275,3.450,-3.4774234575526504,0.0
3.100,3.275,3.450,-3.474294256699672,0.0
3.100,3.275,3.450,-3.471165055846694,0.0
3.100,3.275,3.450,-3.468035854993716,0.0
3.100,3.275,3.450,-3.4649066541407376,0.0
3.100,3.275,3.450,-3.4617774532877594,0.0
3.100,3.275,3.450,-3.4586482524347812,0.0
3.100,3.275,3.450,-3.455519051581803,0.0
3.100,3.275,3.450,-3.4523898507288253,0.0
3.100,3.275,3.450,-3.449260649875847,0.0
3.100,3.275,3.450,-3.446131449022869,0.0
3.100,3.275,3.450,-3.4430022481698908,0.0
