log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
2.4,2.575,2.75,-0.35,-0.325,-0.3,0.027774841372920515
2.4,2.575,2.75,-0.3,-0.275,-0.25,0.02769605094619307
2.4,2.575,2.75,-0.25,-0.225,-0.2,0.02863866116659327
2.4,2.575,2.75,-0.2,-0.175,-0.15,0.02800686955235549
2.4,2.575,2.75,-0.15,-0.125,-0.1,0.028616062122438606
2.4,2.575,2.75,-0.1,-0.075,-0.05,0.025270933853473707
2.4,2.575,2.75,-0.05,-0.025,0.0,0.025200236830869503
2.4,2.575,2.75,0.0,0.025,0.05,0.023758717936047995
2.4,2.575,2.75,0.05,0.075,0.1,0.02097307844270436
2.4,2.575,2.75,0.1,0.125,0.15,0.01992120636581985
2.4,2.575,2.75,0.15,0.175,0.2,0.0
2.4,2.575,2.75,0.2,0.225,0.25,0.0
2.4,2.575,2.75,0.25,0.275,0.3,0.0
2.4,2.575,2.75,0.3,0.325,0.35,0.0
2.4,2.575,2.75,0.35,0.375,0.4,0.0
2.4,2.575,2.75,0.4,0.425,0.45,0.0
2.4,2.575,2.75,0.45,0.475,0.5,0.0
2.4,2.575,2.75,0.5,0.525,0.55,0.0
2.4,2.575,2.75,0.55,0.575,0.6,0.0
2.4,2.575,2.75,0.6,0.625,0.65,0.0
2.4,2.575,2.75,0.65,0.675,0.7,0.0
2.4,2.575,2.75,0.7,0.725,0.75,0.0
2.4,2.575,2.75,0.75,0.775,0.8,0.0
2.4,2.575,2.75,0.8,0.825,0.85,0.0
2.4,2.575,2.75,0.85,0.875,0.9,0.0
2.4,2.575,2.75,0.9,0.925,0.95,0.0
2.4,2.575,2.75,0.95,0.975,1.0,0.0
2.75,2.925,3.1,-1.0,-0.975,-0.95,0.19448893048722093
2.75,2.925,3.1,-0.95,-0.925,-0.9,0.20832558366385057
2.75,2.925,3.1,-0.9,-0.875,-0.85,0.20464619211749757
2.75,2.925,3.1,-0.85,-0.825,-0.8,0.2097492390763343
2.75,2.925,3.1,-0.8,-0.775,-0.75,0.20653448008084918
2.75,2.925,3.1,-0.75,-0.725,-0.7,0.21205432999170587
2.75,2.925,3.1,-0.7,-0.675,-0.65,0.20942885266593086
2.75,2.925,3.1,-0.65,-0.625,-0.6,0.20413379815449095
2.75,2.925,3.1,-0.6,-0.575,-0.55,0.20675166978517648
2.75,2.925,3.1,-0.55,-0.525,-0.5,0.204893125477646
2.75,2.925,3.1,-0.5,-0.475,-0.45,0.19694881841844794
