log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
1.700,1.875,2.050,-3.6995967181140985,132.0181538028426
1.700,1.875,2.050,-3.6964675172611203,132.01815380356834
1.700,1.875,2.050,-3.693338316408142,132.01815380428854
1.700,1.875,2.050,-3.690209115555164,132.01815380500327
1.700,1.875,2.050,-3.6870799147021858,132.01815380571247
1.700,1.875,2.050,-3.6839507138492076,132.01815380641622
1.700,1.875,2.050,-3.6808215129962294,132.01815380711454
1.700,1.875,2.050,-3.677692312143251,132.01815380780744
1.700,1.875,2.050,-3.674563111290273,132.0181538084949
1.700,1.875,2.050,-3.671433910437295,132.01815380917702
1.700,1.875,2.050,-3.6683047095843166,132.01815380985377
1.700,1.875,2.050,-3.665175508731339,132.01815381052518
1.700,1.875,2.050,-3.6620463078783607,132.01815381119127
1.700,1.875,2.050,-3.6589171070253825,132.01815381185205
1.700,1.875,2.050,-3.6557879061724043,132.01815381250756
1.700,1.875,2.050,-3.652658705319426,132.01815381315782
1.700,1.875,2.050,-3.649529504466448,132.01815381380285
1.700,1.875,2.050,-3.64640030361347,132.01815381444266
1.700,1.875,2.050,-3.6432711027604916,132.01815381507728
1.700,1.875,2.050,-3.640141901907514,132.01815381570674
1.700,1.875,2.050,-3.6370127010545357,132.01815381633105
1.700,1.875,2.050,-3.6338835002015575,132.01815381695022
1.700,1.875,2.050,-3.6307542993485793,132.01815381756427
1.700,1.875,2.050,-3.627625098495601,132.01815381817326
1.700,1.875,2.050,-3.624495897642623,132.01815381877717
1.700,1.875,2.050,-3.6213666967896447,132.01815381937604
1.700,1.875,2.050,-3.6182374959366665,132.01815381996988
1.700,1.875,2.050,-3.6151082950836884,132.01815382055875
1.700,1.875,2.050,-3.61197909423071,132.01815382114262
1.700,1.875,2.050,-3.608849893377732,132.0181538217215
1.700,1.875,2.050,-3.605720692524754,132.0181538222955
1.700,1.875,2.050,-3.602591491671776,132.01815382286452
1.700,1.875,2.050,-3.599462290818798,132.0181538234287
1.700,1.875,2.050,-3.5963330899658197,132.01815382398794
1.700,1.875,2.050,-3.5932038891128415,132.01815382454237
1.700,1.875,2.050,-3.5900746882598633,132.01815382509196
1.700,1.875,2.050,-3.586945487406885,132.01815382563674
1.700,1.875,2.050,-3.583816286553907,132.01815382617673
1.700,1.875,2.050,-3.5806870857009288,132.01815382671194
1.700,1.875,2.050,-3.577557884847951,132.0181538272424
1.700,1.875,2.050,-3.574428683994973,132.01815382776815
1.700,1.875,2.050,-3.5712994831419946,132.01815382828917
1.700,1.875,2.050,-3.5681702822890164,132.0181538288055
1.700,1.875,2.050,-3.5650410814360383,132.01815382931719
1.700,1.875,2.050,-3.56191188058306,132.01815382982423
1.700,1.875,2.050,-3.558782679730082,132.01815383032664
1.700,1.875,2.050,-3.5556534788771037,132.01815383082445
1.700,1.875,2.050,-3.5525242780241255,132.01815383131768
1.700,1.875,2.050,-3.5493950771711473,132.01815383180633
1.700,1.875,2.050,-3.546265876318169,132.01815383229047
1.700,1.875,2.050,-3.543136675465191,132.01815383277008
1.700,1.875,2.050,-3.540007474612213,132.0181538332452
1.700,1.875,2.050,-3.536878273759235,132.01815383371584
1.700,1.875,2.050,-3.533749072906257,132.01815383418202
1.700,1.875,2.050,-3.5306198720532787,132.01815383464378
1.700,1.875,2.050,-3.5274906712003005,132.01815383510112
1.700,1.875,2.050,-3.5243614703473223,132.01815383555407
1.700,1.875,2.050,-3.521232269494344,132.01815383600263
1.700,1.875,2.050,-3.518103068641366,132.01815383644686
1.700,1.875,2.050,-3.514973867788388,132.01815383688677
1.700,1.875,2.050,-3.51184466693541,132.01815383732236
1.700,1.875,2.050,-3.508715466082432,132.01815383775366
1.700,1.875,2.050,-3.5055862652294536,132.01815383818072
1.700,1.875,2.050,-3.5024570643764754,132.01815383860352
1.700,1.875,2.050,-3.4993278635234972,132.0181538390221
1.700,1.875,2.050,-3.496198662670519,132.01815383943645
1.700,1.875,2.050,-3.493069461817541,132.01815383984666
1.700,1.875,2.050,-3.4899402609645627,132.0181538402527
1.700,1.875,2.050,-3.4868110601115845,132.01815384065458
1.700,1.875,2.050,-3.4836818592586063,132.01815384105237
1.700,1.875,2.050,-3.480552658405628,132.01815384144604
1.700,1.875,2.050,-3.4774234575526504,132.01815384183564
1.700,1.875,2.050,-3.474294256699672,132.0181538422212
1.700,1.875,2.050,-3.471165055846694,132.01815384260271
