log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
5.2,5.375,5.55,0.7,0.725,0.75,11.299609510339916
5.2,5.375,5.55,0.75,0.775,0.8,7.810066667118273
5.2,5.375,5.55,0.8,0.825,0.85,7.238227352986777
5.2,5.375,5.55,0.85,0.875,0.9,8.02540070073769
5.2,5.375,5.55,0.9,0.925,0.95,8.48030525536998
5.2,5.375,5.55,0.95,0.975,1.0,7.74296574480275
5.55,5.725,5.9,-1.0,-0.975,-0.95,1.265829686968254
5.55,5.725,5.9,-0.95,-0.925,-0.9,2.1780528236890113
5.55,5.725,5.9,-0.9,-0.875,-0.85,3.180740501427857
5.55,5.725,5.9,-0.85,-0.825,-0.8,5.661841920149595
5.55,5.725,5.9,-0.8,-0.775,-0.75,7.089345920849944
5.55,5.725,5.9,-0.75,-0.725,-0.7,7.5585991775224945
5.55,5.725,5.9,-0.7,-0.675,-0.65,9.027266409995597
5.55,5.725,5.9,-0.65,-0.625,-0.6,9.354799207784012
5.55,5.725,5.9,-0.6,-0.575,-0.55,10.918025136502658
5.55,5.725,5.9,-0.55,-0.525,-0.5,13.01719405207461
5.55,5.725,5.9,-0.5,-0.475,-0.45,14.736520149257252
5.55,5.725,5.9,-0.45,-0.425,-0.4,15.980268235231701
5.55,5.725,5.9,-0.4,-0.375,-0.35,17.521915093558384
5.55,5.725,5.9,-0.35,-0.325,-0.3,19.39106272700196
5.55,5.725,5.9,-0.3,-0.275,-0.25,19.47873443008106
5.55,5.725,5.9,-0.25,-0.225,-0.2,23.295526429140406
5.55,5.725,5.9,-0.2,-0.175,-0.15,23.64206607120709
5.55,5.725,5.9,-0.15,-0.125,-0.1,28.141082475982735
5.55,5.725,5.9,-0.1,-0.075,-0.05,25.671701486870294
5.55,5.725,5.9,-0.05,-0.025,0.0,27.716385305314184
5.55,5.725,5.9,0.0,0.025,0.05,32.490213349213136
5.55,5.725,5.9,0.05,0.075,0.1,29.162154084407526
5.55,5.725,5.9,0.1,0.125,0.15,31.710470315248898
5.55,5.725,5.9,0.15,0.175,0.2,31.450656842818702
5.55,5.725,5.9,0.2,0.225,0.25,30.16675978052075
5.55,5.725,5.9,0.25,0.275,0.3,28.025643815483203
5.55,5.725,5.9,0.3,0.325,0.35,29.783505256974266
5.55,5.725,5.9,0.35,0.375,0.4,28.99427760414977
5.55,5.725,5.9,0.4,0.425,0.45,28.205600746544867
5.55,5.725,5.9,0.45,0.475,0.5,26.299048040263735
5.55,5.725,5.9,0.5,0.525,0.55,25.881126097193775
5.55,5.725,5.9,0.55,0.575,0.6,27.18230774927737
5.55,5.725,5.9,0.6,0.625,0.65,23.59745476189557
5.55,5.725,5.9,0.65,0.675,0.7,20.01185437604823
5.55,5.725,5.9,0.7,0.725,0.75,20.04765228701666
5.55,5.725,5.9,0.75,0.775,0.8,14.534539364698723
5.55,5.725,5.9,0.8,0.825,0.85,14.371051808061829
5.55,5.725,5.9,0.85,0.875,0.9,15.424434996647586
5.55,5.725,5.9,0.9,0.925,0.95,13.059565820368729
5.55,5.725,5.9,0.95,0.975,1.0,13.679886504266761
5.9,6.075,6.25,-1.0,-0.975,-0.95,0.3930999837561654
5.9,6.075,6.25,-0.95,-0.925,-0.9,0.7844796202494075
5.9,6.075,6.25,-0.9,-0.875,-0.85,1.5529502973698341
5.9,6.075,6.25,-0.85,-0.825,-0.8,3.604128650881452
5.9,6.075,6.25,-0.8,-0.775,-0.75,4.7760511168790405
5.9,6.075,6.25,-0.75,-0.725,-0.7,5.657878997248652
5.9,6.075,6.25,-0.7,-0.675,-0.65,6.648143078387614
5.9,6.075,6.25,-0.65,-0.625,-0.6,8.278775721275784
5.9,6.075,6.25,-0.6,-0.575,-0.55,9.895321549242386
5.9,6.075,6.25,-0.55,-0.525,-0.5,12.202921080322746
5.9,6.075,6.25,-0.5,-0.475,-0.45,13.630227280073932
5.9,6.075,6.25,-0.45,-0.425,-0.4,17.890064508175207
5.9,6.075,6.25,-0.4,-0.375,-0.35,20.343085164193724
5.9,6.075,6.25,-0.35,-0.325,-0.3,22.797821988037654
5.9,6.075,6.25,-0.3,-0.275,-0.25,26.272234192980008
5.9,6.075,6.25,-0.25,-0.225,-0.2,28.13739262928764
5.9,6.075,6.25,-0.2,-0.175,-0.15,32.31623573022728
5.9,6.075,6.25,-0.15,-0.125,-0.1,36.235754316730635
5.9,6.075,6.25,-0.1,-0.075,-0.05,38.58218139720702
5.9,6.075,6.25,-0.05,-0.025,0.0,46.010762261778396
5.9,6.075,6.25,0.0,0.025,0.05,49.36356226274742
5.9,6.075,6.25,0.05,0.075,0.1,48.239637255906715
5.9,6.075,6.25,0.1,0.125,0.15,44.10591987460837
5.9,6.075,6.25,0.15,0.175,0.2,42.27203228002293
5.9,6.075,6.25,0.2,0.225,0.25,42.0738905731494
5.9,6.075,6.25,0.25,0.275,0.3,41.76305141247558
5.9,6.075,6.25,0.3,0.325,0.35,50.30311676532828
5.9,6.075,6.25,0.35,0.375,0.4,40.33552785344307
5.9,6.075,6.25,0.4,0.425,0.45,44.383133714469665
5.9,6.075,6.25,0.45,0.475,0.5,42.626091660554884
5.9,6.075,6.25,0.5,0.525,0.55,39.511012289346475
5.9,6.075,6.25,0.55,0.575,0.6,41.23414744582899
5.9,6.075,6.25,0.6,0.625,0.65,36.51876663040891
5.9,6.075,6.25,0.65,0.675,0.7,34.3496731075531
5.9,6.075,6.25,0.7,0.725,0.75,32.54372127064274
5.9,6.075,6.25,0.75,0.775,0.8,28.577475521687674
5.9,6.075,6.25,0.8,0.825,0.85,26.159994619694512
5.9,6.075,6.25,0.85,0.875,0.9,27.52403199353173
5.9,6.075,6.25,0.9,0.925,0.95,24.545568967343897
5.9,6.075,6.25,0.95,0.975,1.0,25.893224186860976
6.25,6.425,6.6,-1.0,-0.975,-0.95,0.07017088480862901
6.25,6.425,6.6,-0.95,-0.925,-0.9,0.1623315816887172
6.25,6.425,6.6,-0.9,-0.875,-0.85,0.5611917747484716
6.25,6.425,6.6,-0.85,-0.825,-0.8,1.633075998789598
6.25,6.425,6.6,-0.8,-0.775,-0.75,2.633686906995867
6.25,6.425,6.6,-0.75,-0.725,-0.7,3.3512796362220816
6.25,6.425,6.6,-0.7,-0.675,-0.65,4.587144762051617
6.25,6.425,6.6,-0.65,-0.625,-0.6,5.820689240939716
6.25,6.425,6.6,-0.6,-0.575,-0.55,7.926795585578672
6.25,6.425,6.6,-0.55,-0.525,-0.5,11.089575243444358
6.25,6.425,6.6,-0.5,-0.475,-0.45,11.825573152476704
6.25,6.425,6.6,-0.45,-0.425,-0.4,15.709065861660847
6.25,6.425,6.6,-0.4,-0.375,-0.35,21.68605617248282
6.25,6.425,6.6,-0.35,-0.325,-0.3,26.044540663606767
6.25,6.425,6.6,-0.3,-0.275,-0.25,32.78353555743561
6.25,6.425,6.6,-0.25,-0.225,-0.2,35.65124660012549
6.25,6.425,6.6,-0.2,-0.175,-0.15,43.58330928340318
6.25,6.425,6.6,-0.15,-0.125,-0.1,48.18949398608223
6.25,6.425,6.6,-0.1,-0.075,-0.05,65.1915121045291
6.25,6.425,6.6,-0.05,-0.025,0.0,76.58131482877425
6.25,6.425,6.6,0.0,0.025,0.05,72.2881935251074
6.25,6.425,6.6,0.05,0.075,0.1,70.35401713231639
6.25,6.425,6.6,0.1,0.125,0.15,70.38825060775508
6.25,6.425,6.6,0.15,0.175,0.2,71.09087300201269
6.25,6.425,6.6,0.2,0.225,0.25,80.11853396116275
6.25,6.425,6.6,0.25,0.275,0.3,76.03719269761767
6.25,6.425,6.6,0.3,0.325,0.35,67.24271546719343
6.25,6.425,6.6,0.35,0.375,0.4,75.40359817972086
6.25,6.425,6.6,0.4,0.425,0.45,67.99290442972188
6.25,6.425,6.6,0.45,0.475,0.5,58.54730326493004
6.25,6.425,6.6,0.5,0.525,0.55,66.87546033921933
6.25,6.425,6.6,0.55,0.575,0.6,61.78053946916481
6.25,6.425,6.6,0.6,0.625,0.65,67.33845020679809
6.25,6.425,6.6,0.65,0.675,0.7,66.67262957500162
6.25,6.425,6.6,0.7,0.725,0.75,70.33104617258473
6.25,6.425,6.6,0.75,0.775,0.8,58.01745053650851
6.25,6.425,6.6,0.8,0.825,0.85,58.49666011107012
6.25,6.425,6.6,0.85,0.875,0.9,63.67558300978153
6.25,6.425,6.6,0.9,0.925,0.95,60.082441419512136
6.25,6.425,6.6,0.95,0.975,1.0,60.54626972780699
6.6,6.775,6.95,-1.0,-0.975,-0.95,0.005926583422757947
6.6,6.775,6.95,-0.95,-0.925,-0.9,0.019400337092229235
6.6,6.775,6.95,-0.9,-0.875,-0.85,0.0807996121674635
6.6,6.775,6.95,-0.85,-0.825,-0.8,0.4482853992943217
6.6,6.775,6.95,-0.8,-0.775,-0.75,0.7456049583631964
6.6,6.775,6.95,-0.75,-0.725,-0.7,1.0490498861593378
6.6,6.775,6.95,-0.7,-0.675,-0.65,1.6521378950231602
6.6,6.775,6.95,-0.65,-0.625,-0.6,2.2711518504497907
6.6,6.775,6.95,-0.6,-0.575,-0.55,3.0731392844926457
6.6,6.775,6.95,-0.55,-0.525,-0.5,4.2766650939788216
6.6,6.775,6.95,-0.5,-0.475,-0.45,6.196480906932232
6.6,6.775,6.95,-0.45,-0.425,-0.4,8.014463692631006
6.6,6.775,6.95,-0.4,-0.375,-0.35,12.431851809530686
6.6,6.775,6.95,-0.35,-0.325,-0.3,16.851637138244506
6.6,6.775,6.95,-0.3,-0.275,-0.25,19.73352970033457
6.6,6.775,6.95,-0.25,-0.225,-0.2,27.81611816534857
6.6,6.775,6.95,-0.2,-0.175,-0.15,42.09617007543014
6.6,6.775,6.95,-0.15,-0.125,-0.1,51.22782197614167
6.6,6.775,6.95,-0.1,-0.075,-0.05,68.24675717957865
6.6,6.775,6.95,-0.05,-0.025,0.0,90.00010085850255
6.6,6.775,6.95,0.0,0.025,0.05,108.6408419425605
6.6,6.775,6.95,0.05,0.075,0.1,125.30772370836122
6.6,6.775,6.95,0.1,0.125,0.15,114.81774154456598
6.6,6.775,6.95,0.15,0.175,0.2,118.8867469799452
6.6,6.775,6.95,0.2,0.225,0.25,130.3953319612821
6.6,6.775,6.95,0.25,0.275,0.3,112.82576785185105
6.6,6.775,6.95,0.3,0.325,0.35,136.3604359058766
6.6,6.775,6.95,0.35,0.375,0.4,128.24143960130564
6.6,6.775,6.95,0.4,0.425,0.45,123.21030927592548
6.6,6.775,6.95,0.45,0.475,0.5,127.12246520758222
6.6,6.775,6.95,0.5,0.525,0.55,136.20607792854116
6.6,6.775,6.95,0.55,0.575,0.6,131.2342765137813
6.6,6.775,6.95,0.6,0.625,0.65,123.07516634016685
6.6,6.775,6.95,0.65,0.675,0.7,125.66816403220336
6.6,6.775,6.95,0.7,0.725,0.75,134.24812737580464
6.6,6.775,6.95,0.75,0.775,0.8,128.4224324522107
6.6,6.775,6.95,0.8,0.825,0.85,132.9590420679985
6.6,6.775,6.95,0.85,0.875,0.9,126.64860470502325
6.6,6.775,6.95,0.9,0.925,0.95,131.56427015751814
6.6,6.775,6.95,0.95,0.975,1.0,135.89236797694994
6.95,7.125,7.3,-1.0,-0.975,-0.95,0.0002543705229162921
6.95,7.125,7.3,-0.95,-0.925,-0.9,0.0013958648277382281
6.95,7.125,7.3,-0.9,-0.875,-0.85,0.011914091807826623
6.95,7.125,7.3,-0.85,-0.825,-0.8,0.10849876240780788
6.95,7.125,7.3,-0.8,-0.775,-0.75,0.22861887144028897
6.95,7.125,7.3,-0.75,-0.725,-0.7,0.35171241452214874
6.95,7.125,7.3,-0.7,-0.675,-0.65,0.6616593783647202
6.95,7.125,7.3,-0.65,-0.625,-0.6,1.079416980199834
6.95,7.125,7.3,-0.6,-0.575,-0.55,1.7313579853874799
6.95,7.125,7.3,-0.55,-0.525,-0.5,3.00657436256765
6.95,7.125,7.3,-0.5,-0.475,-0.45,4.729098264043629
6.95,7.125,7.3,-0.45,-0.425,-0.4,7.999431158702064
6.95,7.125,7.3,-0.4,-0.375,-0.35,11.754244401781918
6.95,7.125,7.3,-0.35,-0.325,-0.3,18.52747202698117
6.95,7.125,7.3,-0.3,-0.275,-0.25,28.132838296633963
6.95,7.125,7.3,-0.25,-0.225,-0.2,42.67325000045115
6.95,7.125,7.3,-0.2,-0.175,-0.15,61.80320743782009
6.95,7.125,7.3,-0.15,-0.125,-0.1,75.22065948917086
6.95,7.125,7.3,-0.1,-0.075,-0.05,111.4113110285355
6.95,7.125,7.3,-0.05,-0.025,0.0,134.8543107401121
6.95,7.125,7.3,0.0,0.025,0.05,161.10986469715016
6.95,7.125,7.3,0.05,0.075,0.1,179.49143467036004
6.95,7.125,7.3,0.1,0.125,0.15,158.59857051159048
6.95,7.125,7.3,0.15,0.175,0.2,151.66714212635043
6.95,7.125,7.3,0.2,0.225,0.25,163.0867843038896
6.95,7.125,7.3,0.25,0.275,0.3,181.70771678916688
6.95,7.125,7.3,0.3,0.325,0.35,175.91144864041476
6.95,7.125,7.3,0.35,0.375,0.4,164.4786528004554
6.95,7.125,7.3,0.4,0.425,0.45,174.2597963172488
6.95,7.125,7.3,0.45,0.475,0.5,173.86274119233963
6.95,7.125,7.3,0.5,0.525,0.55,195.21935609190496
6.95,7.125,7.3,0.55,0.575,0.6,200.35816474757797
6.95,7.125,7.3,0.6,0.625,0.65,191.14188238314392
6.95,7.125,7.3,0.65,0.675,0.7,188.51158542181446
6.95,7.125,7.3,0.7,0.725,0.75,152.22279525712412
6.95,7.125,7.3,0.75,0.775,0.8,166.48034443478065
6.95,7.125,7.3,0.8,0.825,0.85,189.91478965974636
6.95,7.125,7.3,0.85,0.875,0.9,186.70596621443013
6.95,7.125,7.3,0.9,0.925,0.95,210.32686504847618
6.95,7.125,7.3,0.95,0.975,1.0,178.2275667717837
7.3,7.475,7.65,-1.0,-0.975,-0.95,5.603004601005206e-06
7.3,7.475,7.65,-0.95,-0.925,-0.9,7.678721946954823e-05
7.3,7.475,7.65,-0.9,-0.875,-0.85,0.0009166161344690324
7.3,7.475,7.65,-0.85,-0.825,-0.8,0.014138043961302
7.3,7.475,7.65,-0.8,-0.775,-0.75,0.04035580083489955
7.3,7.475,7.65,-0.75,-0.725,-0.7,0.07977330073539499
7.3,7.475,7.65,-0.7,-0.675,-0.65,0.22416446486793
7.3,7.475,7.65,-0.65,-0.625,-0.6,0.34161101159460616
7.3,7.475,7.65,-0.6,-0.575,-0.55,0.6842135679303798
7.3,7.475,7.65,-0.55,-0.525,-0.5,1.2801179036912216
7.3,7.475,7.65,-0.5,-0.475,-0.45,2.6737849290586695
7.3,7.475,7.65,-0.45,-0.425,-0.4,4.981999906675156
7.3,7.475,7.65,-0.4,-0.375,-0.35,9.302307295213641
7.3,7.475,7.65,-0.35,-0.325,-0.3,14.681732990584983
7.3,7.475,7.65,-0.3,-0.275,-0.25,21.914646086753947
7.3,7.475,7.65,-0.25,-0.225,-0.2,36.43217222373416
7.3,7.475,7.65,-0.2,-0.175,-0.15,55.21802823188541
7.3,7.475,7.65,-0.15,-0.125,-0.1,70.27211748032263
7.3,7.475,7.65,-0.1,-0.075,-0.05,101.9756876360041
7.3,7.475,7.65,-0.05,-0.025,0.0,184.5221240030968
7.3,7.475,7.65,0.0,0.025,0.05,187.58112326800892
7.3,7.475,7.65,0.05,0.075,0.1,199.17277297170432
7.3,7.475,7.65,0.1,0.125,0.15,185.32252316056594
7.3,7.475,7.65,0.15,0.175,0.2,211.35482760375572
7.3,7.475,7.65,0.2,0.225,0.25,227.28644270916368
7.3,7.475,7.65,0.25,0.275,0.3,214.76959907609398
7.3,7.475,7.65,0.3,0.325,0.35,224.33292808292387
7.3,7.475,7.65,0.35,0.375,0.4,196.07465494736317
7.3,7.475,7.65,0.4,0.425,0.45,239.47938327480466
7.3,7.475,7.65,0.45,0.475,0.5,244.57199924623075
7.3,7.475,7.65,0.5,0.525,0.55,194.41260376056488
7.3,7.475,7.65,0.55,0.575,0.6,252.14137827137068
7.3,7.475,7.65,0.6,0.625,0.65,251.31252321853452
7.3,7.475,7.65,0.65,0.675,0.7,265.2855717579955
7.3,7.475,7.65,0.7,0.725,0.75,234.85755507236638
7.3,7.475,7.65,0.75,0.775,0.8,233.7327948789328
7.3,7.475,7.65,0.8,0.825,0.85,248.24450346617266
7.3,7.475,7.65,0.85,0.875,0.9,226.19684162047014
7.3,7.475,7.65,0.9,0.925,0.95,254.64526177827912
7.3,7.475,7.65,0.95,0.975,1.0,245.3656192329007
7.65,7.825,8.0,-1.0,-0.975,-0.95,2.992468456727996e-08
7.65,7.825,8.0,-0.95,-0.925,-0.9,5.472755892942738e-07
7.65,7.825,8.0,-0.9,-0.875,-0.85,2.1247287634809744e-05
7.65,7.825,8.0,-0.85,-0.825,-0.8,0.0006856139479576827
7.65,7.825,8.0,-0.8,-0.775,-0.75,0.0027259351744810204
7.65,7.825,8.0,-0.75,-0.725,-0.7,0.0075919415913755645
7.65,7.825,8.0,-0.7,-0.675,-0.65,0.019184173407132733
7.65,7.825,8.0,-0.65,-0.625,-0.6,0.06382010313496607
7.65,7.825,8.0,-0.6,-0.575,-0.55,0.10102795153195468
7.65,7.825,8.0,-0.55,-0.525,-0.5,0.3218455425206732
7.65,7.825,8.0,-0.5,-0.475,-0.45,0.7039412848546336
7.65,7.825,8.0,-0.45,-0.425,-0.4,1.5170770259473567
7.65,7.825,8.0,-0.4,-0.375,-0.35,2.9947905050883117
7.65,7.825,8.0,-0.35,-0.325,-0.3,6.929535777049146
7.65,7.825,8.0,-0.3,-0.275,-0.25,13.288153386751139
7.65,7.825,8.0,-0.25,-0.225,-0.2,22.862702397410374
7.65,7.825,8.0,-0.2,-0.175,-0.15,43.83463724901224
7.65,7.825,8.0,-0.15,-0.125,-0.1,59.933696153731525
7.65,7.825,8.0,-0.1,-0.075,-0.05,123.17684708213689
7.65,7.825,8.0,-0.05,-0.025,0.0,213.95985328396586
7.65,7.825,8.0,0.0,0.025,0.05,245.8001422874163
7.65,7.825,8.0,0.05,0.075,0.1,238.4649326318716
7.65,7.825,8.0,0.1,0.125,0.15,243.43388551562754
7.65,7.825,8.0,0.15,0.175,0.2,260.3809498391546
7.65,7.825,8.0,0.2,0.225,0.25,280.7912137464972
7.65,7.825,8.0,0.25,0.275,0.3,329.1238854544807
7.65,7.825,8.0,0.3,0.325,0.35,344.5186710985176
7.65,7.825,8.0,0.35,0.375,0.4,258.4347810133978
7.65,7.825,8.0,0.4,0.425,0.45,332.10697752087054
7.65,7.825,8.0,0.45,0.475,0.5,342.76687854017257
7.65,7.825,8.0,0.5,0.525,0.55,342.77490340080845
7.65,7.825,8.0,0.55,0.575,0.6,346.008829055654
7.65,7.825,8.0,0.6,0.625,0.65,242.14225665038137
7.65,7.825,8.0,0.65,0.675,0.7,304.9666938432006
7.65,7.825,8.0,0.7,0.725,0.75,360.2611099188072
7.65,7.825,8.0,0.75,0.775,0.8,321.4630606452524
7.65,7.825,8.0,0.8,0.825,0.85,324.39103783607874
7.65,7.825,8.0,0.85,0.875,0.9,253.71569262755077
7.65,7.825,8.0,0.9,0.925,0.95,302.4171184578872
7.65,7.825,8.0,0.95,0.975,1.0,297.1366083632872
