log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
2.75,2.925,3.1,0.1,0.125,0.15,0.0
2.75,2.925,3.1,0.15,0.175,0.2,0.0
2.75,2.925,3.1,0.2,0.225,0.25,0.0
2.75,2.925,3.1,0.25,0.275,0.3,0.0
2.75,2.925,3.1,0.3,0.325,0.35,0.0
2.75,2.925,3.1,0.35,0.375,0.4,0.0
2.75,2.925,3.1,0.4,0.425,0.45,0.0
2.75,2.925,3.1,0.45,0.475,0.5,0.0
2.75,2.925,3.1,0.5,0.525,0.55,0.0
2.75,2.925,3.1,0.55,0.575,0.6,0.0
2.75,2.925,3.1,0.6,0.625,0.65,0.0
2.75,2.925,3.1,0.65,0.675,0.7,0.0
2.75,2.925,3.1,0.7,0.725,0.75,0.0
2.75,2.925,3.1,0.75,0.775,0.8,0.0
2.75,2.925,3.1,0.8,0.825,0.85,0.0
2.75,2.925,3.1,0.85,0.875,0.9,0.0
2.75,2.925,3.1,0.9,0.925,0.95,0.0
2.75,2.925,3.1,0.95,0.975,1.0,0.0
3.1,3.275,3.45,-1.0,-0.975,-0.95,0.0
3.1,3.275,3.45,-0.95,-0.925,-0.9,0.0
3.1,3.275,3.45,-0.9,-0.875,-0.85,0.0
3.1,3.275,3.45,-0.85,-0.825,-0.8,0.0
3.1,3.275,3.45,-0.8,-0.775,-0.75,0.0
3.1,3.275,3.45,-0.75,-0.725,-0.7,0.0
3.1,3.275,3.45,-0.7,-0.675,-0.65,0.0
3.1,3.275,3.45,-0.65,-0.625,-0.6,0.0
3.1,3.275,3.45,-0.6,-0.575,-0.55,0.0
3.1,3.275,3.45,-0.55,-0.525,-0.5,0.0
3.1,3.275,3.45,-0.5,-0.475,-0.45,0.0
3.1,3.275,3.45,-0.45,-0.425,-0.4,0.0
3.1,3.275,3.45,-0.4,-0.375,-0.35,0.0
3.1,3.275,3.45,-0.35,-0.325,-0.3,0.0
3.1,3.275,3.45,-0.3,-0.275,-0.25,0.0
3.1,3.275,3.45,-0.25,-0.225,-0.2,0.0
3.1,3.275,3.45,-0.2,-0.175,-0.15,0.0
3.1,3.275,3.45,-0.15,-0.125,-0.1,0.0
3.1,3.275,3.45,-0.1,-0.075,-0.05,0.0
3.1,3.275,3.45,-0.05,-0.025,0.0,0.0
3.1,3.275,3.45,0.0,0.025,0.05,0.0
3.1,3.275,3.45,0.05,0.075,0.1,0.0
3.1,3.275,3.45,0.1,0.125,0.15,0.0
3.1,3.275,3.45,0.15,0.175,0.2,0.0
3.1,3.275,3.45,0.2,0.225,0.25,0.0
3.1,3.275,3.45,0.25,0.275,0.3,0.0
3.1,3.275,3.45,0.3,0.325,0.35,0.0
3.1,3.275,3.45,0.35,0.375,0.4,0.0
3.1,3.275,3.45,0.4,0.425,0.45,0.0
3.1,3.275,3.45,0.45,0.475,0.5,0.0
3.1,3.275,3.45,0.5,0.525,0.55,0.0
3.1,3.275,3.45,0.55,0.575,0.6,0.0
3.1,3.275,3.45,0.6,0.625,0.65,0.0
3.1,3.275,3.45,0.65,0.675,0.7,0.0
3.1,3.275,3.45,0.7,0.725,0.75,0.0
3.1,3.275,3.45,0.75,0.775,0.8,0.0
3.1,3.275,3.45,0.8,0.825,0.85,0.0
3.1,3.275,3.45,0.85,0.875,0.9,0.0
3.1,3.275,3.45,0.9,0.925,0.95,0.0
3.1,3.275,3.45,0.95,0.975,1.0,0.0
3.45,3.625,3.8,-1.0,-0.975,-0.95,2.133915105895568e-08
3.45,3.625,3.8,-0.95,-0.925,-0.9,2.2880348984580555e-08
3.45,3.625,3.8,-0.9,-0.875,-0.85,2.5370126817166885e-08
3.45,3.625,3.8,-0.85,-0.825,-0.8,2.9097936692195334e-08
3.45,3.625,3.8,-0.8,-0.775,-0.75,3.091140995864328e-08
3.45,3.625,3.8,-0.75,-0.725,-0.7,3.3265932668355516e-08
3.45,3.625,3.8,-0.7,-0.675,-0.65,3.154208654080824e-08
3.45,3.625,3.8,-0.65,-0.625,-0.6,2.927381595333077e-08
3.45,3.625,3.8,-0.6,-0.575,-0.55,2.777568924316141e-08
3.45,3.625,3.8,-0.55,-0.525,-0.5,2.5871872936164693e-08
3.45,3.625,3.8,-0.5,-0.475,-0.45,2.4053157405780432e-08
3.45,3.625,3.8,-0.45,-0.425,-0.4,2.267140280534261e-08
3.45,3.625,3.8,-0.4,-0.375,-0.35,2.1710892435791166e-08
3.45,3.625,3.8,-0.35,-0.325,-0.3,2.0849673779743736e-08
3.45,3.625,3.8,-0.3,-0.275,-0.25,2.0234283844781208e-08
3.45,3.625,3.8,-0.25,-0.225,-0.2,1.974942893858084e-08
3.45,3.625,3.8,-0.2,-0.175,-0.15,1.927428553336526e-08
3.45,3.625,3.8,-0.15,-0.125,-0.1,1.9091391371559844e-08
3.45,3.625,3.8,-0.1,-0.075,-0.05,1.9176696992558167e-08
3.45,3.625,3.8,-0.05,-0.025,0.0,1.9069352330766104e-08
3.45,3.625,3.8,0.0,0.025,0.05,1.9076337500914774e-08
3.45,3.625,3.8,0.05,0.075,0.1,1.886925745666002e-08
3.45,3.625,3.8,0.1,0.125,0.15,1.88096362452989e-08
3.45,3.625,3.8,0.15,0.175,0.2,1.9044508226279503e-08
3.45,3.625,3.8,0.2,0.225,0.25,1.9218350380954636e-08
3.45,3.625,3.8,0.25,0.275,0.3,1.9296767295480435e-08
3.45,3.625,3.8,0.3,0.325,0.35,1.9286618088747807e-08
3.45,3.625,3.8,0.35,0.375,0.4,1.9147936947551194e-08
3.45,3.625,3.8,0.4,0.425,0.45,2.0106101682309167e-08
3.45,3.625,3.8,0.45,0.475,0.5,2.0264737608270078e-08
3.45,3.625,3.8,0.5,0.525,0.55,2.012301077545343e-08
3.45,3.625,3.8,0.55,0.575,0.6,2.085370118505116e-08
3.45,3.625,3.8,0.6,0.625,0.65,2.132843755391405e-08
3.45,3.625,3.8,0.65,0.675,0.7,2.1786895651054744e-08
3.45,3.625,3.8,0.7,0.725,0.75,2.175915821001044e-08
3.45,3.625,3.8,0.75,0.775,0.8,2.2298573961674346e-08
3.45,3.625,3.8,0.8,0.825,0.85,1.9716712996215058e-08
3.45,3.625,3.8,0.85,0.875,0.9,1.2054237093623238e-08
3.45,3.625,3.8,0.9,0.925,0.95,7.052322383431157e-09
3.45,3.625,3.8,0.95,0.975,1.0,6.083263845146251e-10
3.8,3.975,4.15,-1.0,-0.975,-0.95,1.2973322404774514e-07
3.8,3.975,4.15,-0.95,-0.925,-0.9,1.4775058425524312e-07
3.8,3.975,4.15,-0.9,-0.875,-0.85,1.7026490690501317e-07
3.8,3.975,4.15,-0.85,-0.825,-0.8,2.0024102529789949e-07
3.8,3.975,4.15,-0.8,-0.775,-0.75,2.1995062939130435e-07
3.8,3.975,4.15,-0.75,-0.725,-0.7,2.126203201165314e-07
3.8,3.975,4.15,-0.7,-0.675,-0.65,2.427737196499313e-07
3.8,3.975,4.15,-0.65,-0.625,-0.6,2.103687039785714e-07
3.8,3.975,4.15,-0.6,-0.575,-0.55,2.377739758305515e-07
3.8,3.975,4.15,-0.55,-0.525,-0.5,2.4187779243513494e-07
3.8,3.975,4.15,-0.5,-0.475,-0.45,2.1194601754986205e-07
3.8,3.975,4.15,-0.45,-0.425,-0.4,2.1759833791639083e-07
3.8,3.975,4.15,-0.4,-0.375,-0.35,1.9953663804156457e-07
3.8,3.975,4.15,-0.35,-0.325,-0.3,1.8623663948686704e-07
3.8,3.975,4.15,-0.3,-0.275,-0.25,1.938024974007052e-07
3.8,3.975,4.15,-0.25,-0.225,-0.2,2.0028612841993515e-07
3.8,3.975,4.15,-0.2,-0.175,-0.15,1.8192538288368503e-07
3.8,3.975,4.15,-0.15,-0.125,-0.1,1.75767431504598e-07
3.8,3.975,4.15,-0.1,-0.075,-0.05,1.7125243451388614e-07
3.8,3.975,4.15,-0.05,-0.025,0.0,1.6810302938915074e-07
3.8,3.975,4.15,0.0,0.025,0.05,1.6705885244680623e-07
3.8,3.975,4.15,0.05,0.075,0.1,1.6544870013986964e-07
3.8,3.975,4.15,0.1,0.125,0.15,1.6422991872888276e-07
3.8,3.975,4.15,0.15,0.175,0.2,1.6245180101320275e-07
3.8,3.975,4.15,0.2,0.225,0.25,1.8244808903668754e-07
3.8,3.975,4.15,0.25,0.275,0.3,1.9323961552945346e-07
3.8,3.975,4.15,0.3,0.325,0.35,1.9153968573941238e-07
3.8,3.975,4.15,0.35,0.375,0.4,1.8721649571334552e-07
3.8,3.975,4.15,0.4,0.425,0.45,1.8794582852611677e-07
3.8,3.975,4.15,0.45,0.475,0.5,1.9226201507003303e-07
3.8,3.975,4.15,0.5,0.525,0.55,1.9484947255297296e-07
3.8,3.975,4.15,0.55,0.575,0.6,2.015139005066183e-07
3.8,3.975,4.15,0.6,0.625,0.65,2.084526035901933e-07
3.8,3.975,4.15,0.65,0.675,0.7,2.1474238940722158e-07
3.8,3.975,4.15,0.7,0.725,0.75,2.2284864802706882e-07
3.8,3.975,4.15,0.75,0.775,0.8,2.3202223875973657e-07
3.8,3.975,4.15,0.8,0.825,0.85,2.3383595650947648e-07
3.8,3.975,4.15,0.85,0.875,0.9,1.9784969166241468e-07
3.8,3.975,4.15,0.9,0.925,0.95,1.4364264864331012e-07
3.8,3.975,4.15,0.95,0.975,1.0,7.590406131648317e-08
4.15,4.325,4.5,-1.0,-0.975,-0.95,3.9060021081411384e-08
4.15,4.325,4.5,-0.95,-0.925,-0.9,4.648176675002627e-08
4.15,4.325,4.5,-0.9,-0.875,-0.85,5.8397854810024785e-08
4.15,4.325,4.5,-0.85,-0.825,-0.8,6.961688512888346e-08
4.15,4.325,4.5,-0.8,-0.775,-0.75,7.536916868214134e-08
4.15,4.325,4.5,-0.75,-0.725,-0.7,7.511406548765486e-08
4.15,4.325,4.5,-0.7,-0.675,-0.65,7.277891912936339e-08
4.15,4.325,4.5,-0.65,-0.625,-0.6,6.854988042006961e-08
4.15,4.325,4.5,-0.6,-0.575,-0.55,6.67784956710874e-08
4.15,4.325,4.5,-0.55,-0.525,-0.5,8.609052874594215e-08
4.15,4.325,4.5,-0.5,-0.475,-0.45,7.63245952850318e-08
4.15,4.325,4.5,-0.45,-0.425,-0.4,6.796935929268736e-08
4.15,4.325,4.5,-0.4,-0.375,-0.35,6.34721219470603e-08
4.15,4.325,4.5,-0.35,-0.325,-0.3,6.066869610662977e-08
4.15,4.325,4.5,-0.3,-0.275,-0.25,5.871537266051405e-08
4.15,4.325,4.5,-0.25,-0.225,-0.2,5.649062681239417e-08
4.15,4.325,4.5,-0.2,-0.175,-0.15,5.531615840955574e-08
4.15,4.325,4.5,-0.15,-0.125,-0.1,5.4198343286576386e-08
4.15,4.325,4.5,-0.1,-0.075,-0.05,5.3451561833939065e-08
4.15,4.325,4.5,-0.05,-0.025,0.0,5.268332241571019e-08
4.15,4.325,4.5,0.0,0.025,0.05,5.235423830590376e-08
4.15,4.325,4.5,0.05,0.075,0.1,5.227626215167885e-08
4.15,4.325,4.5,0.1,0.125,0.15,5.2339292199143756e-08
4.15,4.325,4.5,0.15,0.175,0.2,5.2377825891615754e-08
4.15,4.325,4.5,0.2,0.225,0.25,5.25845701238542e-08
4.15,4.325,4.5,0.25,0.275,0.3,5.309451166346246e-08
4.15,4.325,4.5,0.3,0.325,0.35,5.408992108818048e-08
4.15,4.325,4.5,0.35,0.375,0.4,5.5027037734204965e-08
4.15,4.325,4.5,0.4,0.425,0.45,5.595145664025075e-08
4.15,4.325,4.5,0.45,0.475,0.5,5.7793803481810057e-08
4.15,4.325,4.5,0.5,0.525,0.55,5.923101321288649e-08
4.15,4.325,4.5,0.55,0.575,0.6,6.165605596075401e-08
4.15,4.325,4.5,0.6,0.625,0.65,6.418720018723366e-08
4.15,4.325,4.5,0.65,0.675,0.7,6.821841186223369e-08
4.15,4.325,4.5,0.7,0.725,0.75,7.026531178446546e-08
4.15,4.325,4.5,0.75,0.775,0.8,6.834238012539212e-08
4.15,4.325,4.5,0.8,0.825,0.85,6.167916720345795e-08
4.15,4.325,4.5,0.85,0.875,0.9,4.966996406593249e-08
4.15,4.325,4.5,0.9,0.925,0.95,4.279622885920443e-08
4.15,4.325,4.5,0.95,0.975,1.0,1.692711019424788e-08
4.5,4.675,4.85,-1.0,-0.975,-0.95,8.867184564217788e-09
